cellid,enbrnc,xarfcn,unit,band,fc,signal,lat,lon,rsrq,ss,WindGust,Pressure,Precip
5125645,20022,876,2,2,1957.6,-92,39.0337279,-94.5762925,-10,25,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-92,39.0337278,-94.5762929,-10,25,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337359,-94.5762845,-12,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337349,-94.5762863,-12,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337191,-94.5762955,-15,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337174,-94.5762902,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337352,-94.5762812,-13,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-89,39.0337371,-94.5762872,-13,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337432,-94.5762717,-14,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337279,-94.5762901,-13,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337278,-94.5762906,-13,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-89,39.0337272,-94.5762917,-11,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-86,39.0337345,-94.5762835,-13,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337341,-94.5762839,-12,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.033734,-94.5762841,-13,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337339,-94.5762841,-13,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337339,-94.5762841,-15,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337339,-94.5762841,-15,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-86,39.0337337,-94.5762843,-13,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-89,39.0337336,-94.5762844,-14,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-89,39.0337336,-94.5762843,-11,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-89,39.0337342,-94.5762833,-11,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337346,-94.5762826,-9,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337347,-94.5762824,-9,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337346,-94.5762826,-12,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337347,-94.5762827,-14,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337352,-94.5762823,-14,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337352,-94.5762823,-13,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337353,-94.5762819,-13,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337355,-94.5762816,-14,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337352,-94.5762818,-9,27,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337352,-94.5762819,-13,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337218,-94.5762944,-13,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-86,39.0337219,-94.5762969,-10,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-86,39.0337237,-94.576295,-10,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-89,39.0337346,-94.5762859,-13,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.033731,-94.5762882,-9,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337282,-94.5762908,-15,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-90,39.0337401,-94.5762818,-12,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-90,39.033736,-94.5762827,-12,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337398,-94.5762786,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-89,39.0337396,-94.5762786,-9,27,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337352,-94.576284,-11,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337358,-94.5762834,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-89,39.0337358,-94.5762834,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-89,39.0337357,-94.5762835,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337358,-94.5762832,-11,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-92,39.0337515,-94.576281,-11,26,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-92,39.03373,-94.5762909,-13,27,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-91,39.0337354,-94.5762833,-14,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-89,39.0337399,-94.5762804,-13,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337594,-94.5762761,-11,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337377,-94.5762828,-12,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337378,-94.5762828,-12,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337378,-94.5762829,-9,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337378,-94.5762828,-10,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-86,39.0337379,-94.5762827,-12,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-86,39.0337378,-94.5762827,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-85,39.0337381,-94.5762824,-11,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-85,39.0337381,-94.5762824,-11,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337381,-94.5762825,-11,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.033738,-94.5762842,-15,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337364,-94.5762819,-12,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.033728,-94.5762918,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-90,39.0337446,-94.5762867,-13,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-91,39.033736,-94.576288,-14,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-90,39.0337279,-94.5762855,-11,27,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-90,39.0337391,-94.5762826,-11,27,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-90,39.0337391,-94.5762824,-12,27,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-90,39.0337385,-94.576283,-12,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-90,39.0337386,-94.5762828,-12,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-91,39.0337386,-94.5762829,-11,26,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-91,39.0337386,-94.5762829,-15,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-91,39.0337386,-94.576283,-15,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-91,39.0337387,-94.576283,-12,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-90,39.0337389,-94.5762828,-11,27,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337388,-94.5762828,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337387,-94.5762829,-11,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337387,-94.5762829,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337387,-94.576283,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337386,-94.576283,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337386,-94.576283,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337387,-94.576283,-14,30,0,28.83,0.3
